parameter,mean,sd,q05,q95,rhat,ess
"z[276,1]",-0.896,0.414,-1.586,-0.217,1,8192
"z[277,1]",1.855,0.429,1.157,2.56,1,8296
"z[278,1]",0.187,0.431,-0.525,0.894,1,7635
"z[279,1]",-0.145,0.454,-0.893,0.592,1,6187
"z[280,1]",2.493,0.489,1.694,3.296,1,6174
"z[281,1]",0.14,0.434,-0.574,0.848,1,7266
"z[282,1]",-0.084,0.463,-0.852,0.67,1.001,8806
"z[283,1]",0.397,0.412,-0.272,1.087,1,7416
"z[284,1]",-0.089,0.413,-0.764,0.598,1,6484
"z[285,1]",0.695,0.394,0.048,1.341,1,8068
"z[286,1]",0.824,0.411,0.149,1.502,1,5946
"z[287,1]",1.572,0.457,0.817,2.321,1,8079
"z[288,1]",0.881,0.423,0.189,1.568,1,8497
"z[289,1]",1.512,0.415,0.826,2.199,1,8408
"z[290,1]",-0.413,0.46,-1.175,0.342,1,5737
"z[291,1]",0.404,0.643,-0.636,1.461,1,9387
"z[292,1]",0.597,0.434,-0.121,1.317,1,6191
"z[293,1]",1.475,0.404,0.815,2.147,1,8687
"z[294,1]",0.015,0.462,-0.748,0.776,1.001,8244
"z[295,1]",-1.707,0.461,-2.464,-0.942,1,8044
"z[296,1]",1.044,0.467,0.262,1.813,1,8822
"z[297,1]",1.181,0.438,0.446,1.898,1,7644
"z[298,1]",-1.144,0.435,-1.859,-0.426,1,7639
"z[299,1]",0.379,0.414,-0.285,1.079,1.001,4526
"z[300,1]",1.223,0.454,0.478,1.971,1,9258
"z[301,1]",0.722,0.528,-0.144,1.596,1,8770
"z[302,1]",1.413,0.533,0.535,2.286,1,8431
"z[303,1]",-1.013,0.41,-1.686,-0.341,1,8453
"z[304,1]",1.314,0.44,0.599,2.037,1.001,7714
"z[305,1]",-0.767,0.41,-1.442,-0.085,1.001,6511
"z[306,1]",0.711,0.473,-0.075,1.478,1,7854
"z[307,1]",0.996,0.46,0.234,1.767,1,8921
"z[308,1]",0.573,0.417,-0.11,1.259,1,7544
"z[309,1]",0.688,0.4,0.009,1.343,1,7788
"z[310,1]",-1.63,0.439,-2.341,-0.914,1,7882
"z[311,1]",0.24,0.419,-0.45,0.925,1.001,8017
"z[312,1]",-1.271,0.41,-1.951,-0.595,1,8004
"z[313,1]",-1.205,0.477,-1.976,-0.432,1.001,8185
"z[314,1]",-1.605,0.44,-2.327,-0.876,1,8111
"z[315,1]",0.989,0.433,0.283,1.695,1,8743
"z[316,1]",0.38,0.455,-0.369,1.124,1,8037
"z[317,1]",-0.947,0.425,-1.657,-0.245,1,7454
"z[318,1]",1.06,0.457,0.308,1.806,1,8054
"z[319,1]",-0.501,0.475,-1.277,0.274,1,6498
"z[320,1]",-1.306,0.458,-2.048,-0.554,1,8623
"z[321,1]",-0.181,0.44,-0.908,0.532,1,7449
"z[322,1]",0.676,0.512,-0.157,1.517,1,7295
"z[323,1]",0.999,0.415,0.322,1.681,1,7759
"z[324,1]",-1.003,0.455,-1.757,-0.265,1,8888
"z[325,1]",-0.311,0.402,-0.986,0.337,1.001,7991
"z[326,1]",1.04,0.472,0.264,1.809,1.001,8187
"z[327,1]",-0.807,0.436,-1.533,-0.09,1,7074
"z[328,1]",-0.595,0.407,-1.261,0.084,1,7441
"z[329,1]",0.976,0.437,0.26,1.704,1,6946
"z[330,1]",0.695,0.44,-0.032,1.413,1,7620
"z[331,1]",-0.479,0.414,-1.168,0.195,1,7758
"z[332,1]",0.868,0.429,0.142,1.573,1,8874
"z[333,1]",0.765,0.409,0.098,1.437,1,8097
"z[334,1]",-0.108,0.452,-0.856,0.634,1,9081
"z[335,1]",0.088,0.417,-0.608,0.773,1,7905
"z[336,1]",-0.731,0.461,-1.48,0.04,1,9242
"z[337,1]",-0.427,0.403,-1.101,0.227,1,8526
"z[338,1]",-0.191,0.405,-0.868,0.484,1,6559
"z[339,1]",0.486,0.411,-0.184,1.168,1,6105
"z[340,1]",1.024,0.434,0.31,1.748,1,5733
"z[341,1]",0.749,0.437,0.04,1.476,1,7491
"z[342,1]",1.032,0.404,0.361,1.698,1,8204
"z[343,1]",-0.47,0.427,-1.17,0.228,1,7895
"z[344,1]",0.803,0.442,0.075,1.529,1,8464
"z[345,1]",0.721,0.444,-0.003,1.451,1,7896
"z[346,1]",0.733,0.396,0.1,1.389,1,7875
"z[347,1]",0.513,0.514,-0.34,1.355,1,9665
"z[348,1]",-0.098,0.406,-0.759,0.571,1,7028
"z[349,1]",0.748,0.43,0.053,1.46,1,8731
"z[350,1]",-0.38,0.445,-1.097,0.346,1,6613
"z[351,1]",-0.572,0.465,-1.313,0.202,1,8854
"z[352,1]",-1.15,0.435,-1.869,-0.432,1,7319
"z[353,1]",1.108,0.404,0.44,1.78,1,8320
"z[354,1]",0.354,0.417,-0.336,1.042,1.001,8086
"z[355,1]",-0.583,0.448,-1.327,0.136,1,8178
"z[356,1]",1.199,0.432,0.481,1.909,1,8817
"z[357,1]",0.375,0.44,-0.349,1.1,1,8555
"z[358,1]",0.606,0.635,-0.451,1.655,1,9033
"z[359,1]",-0.716,0.461,-1.463,0.044,1,8726
"z[360,1]",-0.177,0.456,-0.926,0.571,1.001,8455
